респондент,версия дерева,задача,время,кол-во кликов,финальная глубина,прямой путь,правильность,как часто пользуется этой функций,текст задачи,выбранный элемент,момент завершения
1151916771,1,7,"20,311",4,3,1,1,Пользовался буквально 1-2 раза,"Вы пользуетесь бумажной трудовой книжкой, и хотите перейти на электронную. В какой раздел зайдёте?",Электронная трудовая книжка,2022-09-14 17:01:55.176
557365279,2,7,"19,553",6,3,0,1,Пользовался буквально 1-2 раза,"Вы пользуетесь бумажной трудовой книжкой, и хотите перейти на электронную. В какой раздел зайдёте?",Трудовая книжка,2022-09-15 16:07:06.940
756266965,2,7,"18,331",6,3,0,1,Пользовался буквально 1-2 раза,"Вы пользуетесь бумажной трудовой книжкой, и хотите перейти на электронную. В какой раздел зайдёте?",Трудовая книжка,2022-09-15 13:04:39.991
141353582,3,7,"132,358",8,3,0,1,"Нет, никогда не было необходимости","Вы пользуетесь бумажной трудовой книжкой, и хотите перейти на электронную. В какой раздел зайдёте?",Трудовая книжка,2022-09-15 22:39:15.558
274783955,3,7,"24,786",6,3,0,1,NULL,"Вы пользуетесь бумажной трудовой книжкой, и хотите перейти на электронную. В какой раздел зайдёте?",Трудовая книжка,2022-09-15 09:38:53.614
565110659,3,7,"31,624",4,3,1,1,"Нет, никогда не было необходимости","Вы пользуетесь бумажной трудовой книжкой, и хотите перейти на электронную. В какой раздел зайдёте?",Трудовая книжка,2022-09-15 13:16:52.066
714077412,1,8,"34,193",4,3,1,1,Периодически пользуюсь,Вы хотите узнать свою зарплату и премию. В каком разделе найти эту информацию?,Финансы,2022-09-14 16:51:02.775
1160253531,1,8,"17,407",4,3,1,1,Периодически пользуюсь,Вы хотите узнать свою зарплату и премию. В каком разделе найти эту информацию?,Финансы,2022-09-14 12:25:35.297
1224252883,2,8,"28,767",4,3,1,1,Постоянно пользуюсь,Вы хотите узнать свою зарплату и премию. В каком разделе найти эту информацию?,Финансы,2022-09-15 09:25:03.609
128323136,3,8,"8,114",4,3,1,1,Постоянно пользуюсь,Вы хотите узнать свою зарплату и премию. В каком разделе найти эту информацию?,Финансы,2022-09-14 18:40:02.485
781822250,3,8,"26,154",8,3,0,1,Постоянно пользуюсь,Вы хотите узнать свою зарплату и премию. В каком разделе найти эту информацию?,Финансы,2022-09-14 16:55:14.784
1228746440,3,8,"14,996",6,3,0,1,Периодически пользуюсь,Вы хотите узнать свою зарплату и премию. В каком разделе найти эту информацию?,Финансы,2022-09-13 09:38:05.428
2092592102,3,8,"53,039",6,3,0,1,Периодически пользуюсь,Вы хотите узнать свою зарплату и премию. В каком разделе найти эту информацию?,Финансы,2022-09-15 11:28:42.707
235611760,2,9,"186,189",5,3,0,1,Пользовался буквально 1-2 раза,В каком разделе вы бы оформили себе дистанционный режим работы на время самоизоляции?,Дистанционная работа,2022-09-14 22:04:13.868
1245622492,2,9,"27,569",8,3,0,1,"Нет, никогда не было необходимости",В каком разделе вы бы оформили себе дистанционный режим работы на время самоизоляции?,Дистанционная работа,2022-09-14 17:22:28.978
1438086673,2,9,"129,47",10,3,0,1,"Не пользовался, потому что не знал, где её найти",В каком разделе вы бы оформили себе дистанционный режим работы на время самоизоляции?,Дистанционная работа,2022-09-14 17:04:36.636
149216564,3,9,"62,898",8,3,0,1,"Нет, никогда не было необходимости",В каком разделе вы бы оформили себе дистанционный режим работы на время самоизоляции?,Дистанционная работа,2022-09-14 18:21:59.674
194347766,3,9,"47,036",6,3,0,1,"Нет, никогда не было необходимости",В каком разделе вы бы оформили себе дистанционный режим работы на время самоизоляции?,Дистанционная работа,2022-09-14 16:24:54.035
433274645,3,9,"34,305",6,3,0,1,"Нет, никогда не было необходимости",В каком разделе вы бы оформили себе дистанционный режим работы на время самоизоляции?,Дистанционная работа,2022-09-14 16:30:34.249
570270129,1,10,"23,097",3,2,1,0,Периодически пользуюсь,"Вы хотите посмотреть, с какого числа вас оформили на работу. В каком разделе вы это сделаете?",Перейти в профиль,2022-09-15 18:26:45.316
1720571451,1,10,"20,907",3,2,1,0,"Не пользовался, потому что не знал, где её найти","Вы хотите посмотреть, с какого числа вас оформили на работу. В каком разделе вы это сделаете?",Документооборот,2022-09-14 16:15:56.432
205165486,2,10,"36,441",4,3,1,0,Пользовался буквально 1-2 раза,"Вы хотите посмотреть, с какого числа вас оформили на работу. В каком разделе вы это сделаете?",Трудовая книжка,2022-09-13 12:06:06.267
160220225,3,10,"170,189",10,3,0,1,Периодически пользуюсь,"Вы хотите посмотреть, с какого числа вас оформили на работу. В каком разделе вы это сделаете?",Кадровые приказы,2022-09-14 17:08:25.377
549223973,3,10,"19,876",4,3,1,1,Пользовался буквально 1-2 раза,"Вы хотите посмотреть, с какого числа вас оформили на работу. В каком разделе вы это сделаете?",Кадровые приказы,2022-09-14 16:52:34.623
668854661,3,10,"21,753",4,3,1,1,Пользовался буквально 1-2 раза,"Вы хотите посмотреть, с какого числа вас оформили на работу. В каком разделе вы это сделаете?",Кадровые приказы,2022-09-14 20:09:36.710
1290111557,3,10,"55,696",8,3,0,0,Пользовался буквально 1-2 раза,"Вы хотите посмотреть, с какого числа вас оформили на работу. В каком разделе вы это сделаете?",Трудовая книжка,2022-09-14 10:18:59.986
198142650,1,11,"38,39",4,3,1,0,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Экспертиза материалов,2022-09-14 09:52:02.645
406483506,1,11,"19,636",3,2,1,0,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Проекты,2022-09-14 11:10:19.518
714077412,1,11,"19,083",3,2,1,0,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Защиты,2022-09-14 16:51:23.329
825672756,1,11,"106,388",8,3,0,1,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Заявки на прикрепление для подготовки диссертации,2022-09-14 11:02:36.433
1120580949,1,11,"198,055",5,2,0,0,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Защиты,2022-09-14 17:10:32.598
99825016,2,11,"26,501",10,3,0,1,Периодически пользуюсь,"Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Заявка на защиту диссертации,2022-09-14 16:01:43.852
962616757,2,11,"76,362",10,3,0,1,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Заявка на защиту диссертации,2022-09-13 10:13:25.092
1206334471,2,11,"78,26",18,3,0,1,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Заявка на защиту диссертации,2022-09-14 15:53:18.809
136737116,3,11,"29,357",8,3,0,1,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Заявка на защиту диссертации,2022-09-15 12:45:32.580
273358319,3,11,"16,108",4,3,1,1,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Заявка на защиту диссертации,2022-09-15 18:36:37.410
433274645,3,11,"13,234",4,3,1,0,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Результаты интеллектуальной деятельности,2022-09-14 16:29:58.849
1678505921,3,11,"29,73",8,3,0,1,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, она у вас полностью готова, и теперь вы хотите защитить её в ИТМО. В каком разделе вы подадите заявку на защиту?",Заявка на защиту диссертации,2022-09-13 10:58:03.411
1160253531,1,12,"33,638",6,3,0,1,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, теперь хотите защититься в ИТМО по другой специальности. В каком разделе вы запишитесь на сдачу кандидатских экзаменов?",Заявки на сдачу кандидатских экзаменов,2022-09-14 12:24:51.052
1534393635,1,12,"138,293",6,3,0,0,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, теперь хотите защититься в ИТМО по другой специальности. В каком разделе вы запишитесь на сдачу кандидатских экзаменов?",Экспертиза материалов,2022-09-14 17:05:42.582
514305190,2,12,"46,032",6,3,0,0,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, теперь хотите защититься в ИТМО по другой специальности. В каком разделе вы запишитесь на сдачу кандидатских экзаменов?",Защиты диссертаций,2022-09-15 08:41:53.861
1002011977,2,12,"22,787",4,3,1,0,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, теперь хотите защититься в ИТМО по другой специальности. В каком разделе вы запишитесь на сдачу кандидатских экзаменов?",Защиты диссертаций,2022-09-15 11:10:49.257
1504432039,2,12,"40,692",4,3,1,0,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, теперь хотите защититься в ИТМО по другой специальности. В каком разделе вы запишитесь на сдачу кандидатских экзаменов?",Защиты диссертаций,2022-09-14 21:26:17.656
324394268,3,12,"54,355",6,3,0,0,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, теперь хотите защититься в ИТМО по другой специальности. В каком разделе вы запишитесь на сдачу кандидатских экзаменов?",Защиты диссертаций,2022-09-14 20:09:28.721
1228746440,3,12,"51,112",6,3,0,0,"Нет, никогда не было необходимости","Вы ранее писали кандидатскую диссертацию в другом вузе, теперь хотите защититься в ИТМО по другой специальности. В каком разделе вы запишитесь на сдачу кандидатских экзаменов?",Публикации,2022-09-13 09:36:43.895
147834894,1,13,"67,936",32,3,0,0,"Не пользовался, потому что не знал, где её найти","Вы защитили кандидатскую диссертацию, и теперь хотите получить звание доцента. Какой пункт меню вам нужен?","Повышение квалификации, стажировки",2022-09-14 16:52:00.421
506086014,1,13,"116,534",6,3,0,1,"Нет, никогда не было необходимости","Вы защитили кандидатскую диссертацию, и теперь хотите получить звание доцента. Какой пункт меню вам нужен?",Заявки на ученое звание,2022-09-15 18:25:29.784
1799955318,1,13,"57,063",16,3,0,1,"Нет, никогда не было необходимости","Вы защитили кандидатскую диссертацию, и теперь хотите получить звание доцента. Какой пункт меню вам нужен?",Заявки на ученое звание,2022-09-14 17:01:49.052
956795524,2,13,"84,863",13,2,0,0,"Нет, никогда не было необходимости","Вы защитили кандидатскую диссертацию, и теперь хотите получить звание доцента. Какой пункт меню вам нужен?",ITMO.Library,2022-09-15 08:50:40.173
565110659,3,13,"26,533",4,3,1,0,"Нет, никогда не было необходимости","Вы защитили кандидатскую диссертацию, и теперь хотите получить звание доцента. Какой пункт меню вам нужен?",Кадровые приказы,2022-09-15 13:18:04.988
1712799800,3,13,"35,852",10,3,0,0,"Нет, никогда не было необходимости","Вы защитили кандидатскую диссертацию, и теперь хотите получить звание доцента. Какой пункт меню вам нужен?",Результаты интеллектуальной деятельности,2022-09-14 16:42:44.672
575796873,1,15,"4652,648",12,3,0,1,Пользовался буквально 1-2 раза,В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Заявки на сувенирную и полиграфическую продукцию,2022-09-14 18:30:57.318
846674421,1,15,"19,003",6,3,0,1,"Нет, никогда не было необходимости",В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Заявки на сувенирную и полиграфическую продукцию,2022-09-14 17:14:05.677
1989304989,1,15,"92,799",14,3,0,1,"Нет, никогда не было необходимости",В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Заявки на сувенирную и полиграфическую продукцию,2022-09-14 16:43:23.894
28839841,2,15,"25,03",3,2,1,0,"Нет, никогда не было необходимости",В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Корпоративная стилистика,2022-09-15 07:39:15.947
1245622492,2,15,"14,603",4,3,1,1,"Нет, никогда не было необходимости",В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Заявка на сувенирную продукцию,2022-09-14 17:22:00.413
1488306643,2,15,"7,796",4,3,1,1,Периодически пользуюсь,В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Заявка на сувенирную продукцию,2022-09-14 18:43:10.933
157434503,3,15,"32,584",3,2,1,0,"Не пользовался, потому что не знал, что она есть",В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Корпоративная стилистика,2022-09-14 17:56:02.638
324394268,3,15,"25,744",6,3,0,1,"Нет, никогда не было необходимости",В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Заявка на сувенирную продукцию,2022-09-14 20:12:31.874
433274645,3,15,"13,201",4,3,1,1,Пользовался буквально 1-2 раза,В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Заявка на сувенирную продукцию,2022-09-14 16:31:02.159
596670368,3,15,"38,494",10,3,0,1,Пользовался буквально 1-2 раза,В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Заявка на сувенирную продукцию,2022-09-14 15:54:19.395
668854661,3,15,"23,068",3,2,1,0,"Нет, никогда не было необходимости",В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Подразделения,2022-09-14 20:09:12.656
777356834,3,15,"73,793",3,2,1,0,"Нет, никогда не было необходимости",В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Корпоративная стилистика,2022-09-14 17:04:31.696
1701240371,3,15,"28,904",5,2,0,0,"Нет, никогда не было необходимости",В каком разделе вы можете заказать себе 10 авторучек с логотипом ИТМО для подарков партнёрам?,Корпоративная стилистика,2022-09-14 15:53:20.824
147834894,1,16,"15,047",4,3,1,1,"Нет, никогда не было необходимости",Для публикации статьи в сборнике трудов конференции ИТМО вам нужно получить экспертное заключение. Какой раздел ИСУ вам подойдёт для этого?,Экспертиза материалов,2022-09-14 16:52:58.579
557365279,2,16,"39,803",4,3,1,0,"Не пользовался, потому что не знал, что она есть",Для публикации статьи в сборнике трудов конференции ИТМО вам нужно получить экспертное заключение. Какой раздел ИСУ вам подойдёт для этого?,Публикации,2022-09-15 16:05:29.944
1263736885,2,16,"38,062",9,4,0,0,Пользовался буквально 1-2 раза,Для публикации статьи в сборнике трудов конференции ИТМО вам нужно получить экспертное заключение. Какой раздел ИСУ вам подойдёт для этого?,Инструкции авторам,2022-09-14 18:56:29.379
1438086673,2,16,"139,615",25,4,0,0,"Нет, никогда не было необходимости",Для публикации статьи в сборнике трудов конференции ИТМО вам нужно получить экспертное заключение. Какой раздел ИСУ вам подойдёт для этого?,Инструкции авторам,2022-09-14 17:08:26.382
157434503,3,16,"47,21",10,3,0,0,Постоянно пользуюсь,Для публикации статьи в сборнике трудов конференции ИТМО вам нужно получить экспертное заключение. Какой раздел ИСУ вам подойдёт для этого?,Документооборот,2022-09-14 17:56:50.915
275134790,3,16,"33,925",8,3,0,0,Пользовался буквально 1-2 раза,Для публикации статьи в сборнике трудов конференции ИТМО вам нужно получить экспертное заключение. Какой раздел ИСУ вам подойдёт для этого?,Публикации,2022-09-15 12:16:14.259
1328800148,3,16,"22,709",8,3,0,0,"Нет, никогда не было необходимости",Для публикации статьи в сборнике трудов конференции ИТМО вам нужно получить экспертное заключение. Какой раздел ИСУ вам подойдёт для этого?,Публикации,2022-09-14 13:33:28.922
1547343902,3,16,"22,712",4,3,1,0,"Нет, никогда не было необходимости",Для публикации статьи в сборнике трудов конференции ИТМО вам нужно получить экспертное заключение. Какой раздел ИСУ вам подойдёт для этого?,Экспертная комиссия по НТД,2022-09-15 12:20:31.221
783940296,1,17,"14,985",6,3,0,1,Постоянно пользуюсь,В каком пункте меню вы будете бронировать переговорную?,Бронирование помещений,2022-09-13 12:04:15.452
1151916771,1,17,"66,813",9,2,0,0,"Не пользовался, потому что не знал, что она есть",В каком пункте меню вы будете бронировать переговорную?,Коммуникационные площадки,2022-09-14 17:01:33.550
1215873495,1,17,"161,013",16,3,0,1,"Нет, никогда не было необходимости",В каком пункте меню вы будете бронировать переговорную?,Бронирование помещений,2022-09-14 17:06:16.770
1234629939,1,17,"53,344",20,3,0,1,Постоянно пользуюсь,В каком пункте меню вы будете бронировать переговорную?,Бронирование помещений,2022-09-15 10:38:33.687
1989304989,1,17,"49,912",10,3,0,1,"Нет, никогда не было необходимости",В каком пункте меню вы будете бронировать переговорную?,Бронирование помещений,2022-09-14 16:44:42.735
1078570909,2,17,"96,147",25,2,0,0,"Не пользовался, потому что не знал, что она есть",В каком пункте меню вы будете бронировать переговорную?,Навигатор по аудиториям,2022-09-14 17:02:04.104
1367966209,2,17,"6,501",4,3,1,1,Пользовался буквально 1-2 раза,В каком пункте меню вы будете бронировать переговорную?,Бронирование помещений,2022-09-14 17:03:47.865
28514090,3,17,"39,967",5,2,0,0,Пользовался буквально 1-2 раза,В каком пункте меню вы будете бронировать переговорную?,Навигатор по аудиториям,2022-09-14 21:26:45.932
